station,degree,trafic,line
PORTE DES LILAS,2,3724568,11
NATION,3,9541406,9
BALARD,1,4189814,8
BLANCHE,1,4251153,2
SEVRES-LECOURBE,1,2408327,6
FAIDHERBE-CHALIGNY,1,3079358,8
MAIRIE DE SAINT-OUEN,1,3716189,13
POISSONNIERE,1,3594301,7
SAINT-PLACIDE,1,3287084,4
LA MUETTE,1,4206204,9
PORTE DE VINCENNES,1,5878175,1
BARBES-ROCHECHOUART,2,8392009,4
CORVISART,1,2622998,6
BASTILLE,3,13706765,8
RUE DU BAC,1,2632889,12
EDGAR QUINET,1,2241317,6
JULES JOFFRIN,1,4441668,12
MICHEL-ANGE-MOLITOR,2,2097256,10
FALGUIERE,1,930847,12
QUAI DE LA RAPEE,1,986508,5
PORTE DE SAINT-OUEN,1,3762943,13
RAMBUTEAU,1,4498414,11
PORTE DE LA VILLETTE,1,3391140,7
PORTE DE CHARENTON,1,1642061,8
LA TOUR-MAUBOURG,1,2152005,8
LOUISE MICHEL,1,3594105,3
SAINT-FARGEAU,1,884413,3bis
COLONEL FABIEN,1,4808282,2
MAIRIE D'ISSY,1,4322511,12
FELIX FAURE,1,1895590,8
NOTRE-DAME-DE-LORETTE,1,3007196,12
AVENUE EMILE ZOLA,1,1476223,10
MICHEL-ANGE-AUTEUIL,2,2222709,10
PONT DE NEUILLY,1,6902931,1
TUILERIES,1,2616916,1
EUROPE,1,1619580,3
DANUBE,1,600883,7bis
PASTEUR,2,5110865,12
TELEGRAPHE,1,2506008,11
PERE LACHAISE,2,4682893,3
LA CHAPELLE,1,6503089,2
MARCADET-POISSONNIERS,2,6381604,12
CHARLES DE GAULLE-ETOILE,3,9067635,6
GARE DE LYON ,2,34895701,14
JACQUES BONSERGENT,1,2727155,5
MICHEL BIZOT,1,2038450,8
LA MOTTE-PICQUET-GRENELLE,3,8280583,10
PORTE D'AUTEUIL,1,687237,10
LES SABLONS,1,5439982,1
LA DEFENSE,1,14275382,1
LA FOURCHE,2,2904781,13
CADET,1,3612956,7
COURONNES,1,3034396,2
MABILLON,1,1980247,10
MAISONS-ALFORT-STADE,1,1689344,8
CORENTIN CELTON,1,3380242,12
CONCORDE,3,7176639,12
SENTIER,1,3568784,3
CONVENTION,1,5792331,12
PYRENEES,1,3457271,11
MAIRIE DES LILAS,1,4673141,11
PONT DE SEVRES,1,4557271,9
SAINT-AMBROISE,1,2780473,9
SULLY-MORLAND,1,1575223,7
GONCOURT,1,3740119,11
VILLEJUIF-LEO LAGRANGE,1,2558494,7
TEMPLE,1,1207453,3
BILLANCOURT,1,2838189,9
CLUNY LA SORBONNE,1,2509657,10
ARTS ET METIERS,2,4036745,11
VICTOR HUGO,1,3908009,2
OLYMPIADES,1,6886845,14
LOUVRE-RIVOLI,1,2650897,1
CARDINAL LEMOINE,1,1715926,10
BOULOGNE-PONT DE SAINT-CLOUD,1,3033621,10
HAVRE-CAUMARTIN,2,7899688,9
SAINT-SULPICE,1,2551607,4
MALAKOFF-RUE ETIENNE DOLET,1,1881782,13
CHEMIN VERT,1,1483745,8
MENILMONTANT,1,4316980,2
PLACE DES FETES,1,3321050,11
ARGENTINE,1,2932686,1
ETIENNE MARCEL,1,2803893,4
VILLEJUIF-PAUL VAILLANT-COUTURIER,1,2261934,7
CHARENTON-ECOLES,1,3074333,8
